usaf,wban,name,country,state,call,lat,lon,elev,begin,end
7070,99999,WXPOD 7070,AF,,,0,0,7070,20140923,20150926
10015,99999,BRINGELAND,NO,,,61.383,5.867,327,19870117,20111020
10016,99999,RORVIK/RYUM,NO,,,64.85,11.233,14,19870116,19910806
10071,99999,LONGYEARBYEN,SV,,,78.217,15.583,37,20050210,20050210
10160,99999,KONGSOYA,NO,,,78.933,28.9,20,19930501,20180807
10270,99999,TROMSO-HOLT,NO,,,69.65,18.9,20,20110928,20180807
10320,99999,OVERBYGD,NO,,,69.017,19.283,78,19730101,20140523
10350,99999,LYNGEN GJERDVASSBU,NO,,,69.567,20.1,710,19730101,20180807
10360,99999,NORDNESFJELLET,NO,,,69.567,20.433,710,20040510,20180807
10370,99999,SKIBOTN 2,NO,,,69.383,20.283,20,19730101,20180807
10420,99999,HASVIK-SLUSKFJELLET,NO,,,70.6,22.45,438,20080917,20180807
10530,99999,HAMMERFEST RADIO,NO,,,70.683,23.683,70,19730101,19871226
10550,99999,FRUHOLMEN FYR,NO,,,71.1,23.983,14.2,19310101,20180807
10570,99999,CUOVDDATMOHKKI,NO,,,69.367,24.433,286,19730101,20180807
10670,99999,LEVAJOK-EVJEN,NO,,,69.9,26.417,112,19730103,19820924
10671,99999,LEVAJOK-EVJEN,NO,,,69.9,26.417,112,20070307,20070307
10820,99999,NYRUD,NO,,,69.15,29.25,56,19730919,20180807
10881,99999,NARVIK III/FRAMNES,NO,,,68.467,17.5,23,20050405,20111020
11030,99999,LEKA,NO,,,65.1,11.7,47,19730101,20070307
11100,99999,YTTERHOLMEN FYR,NO,,,66,11.683,33,19961201,20050319
11130,99999,GLOMFJORD,NO,,,66.8,13.983,39,20040406,20091216
11170,99999,TJOTTA,NO,,,65.817,12.417,21,20040119,20180807
11240,99999,SNASA,NO,,,64.167,12.467,195,20050218,20180807
11310,99999,GLAPEN LIGHTHOUSE,NO,,,67.883,13.05,31,19730101,19850625
11320,99999,MAJAVATN V,NO,,,65.167,13.367,319,20080229,20180807
11380,99999,TENNHOLMEN (LGT-H),NO,,,67.3,13.5,14,19850912,20070307
11480,99999,STORFORSHEI,NO,,,66.383,14.517,110,20110616,20180807
11530,99999,BODO-VAGONES,NO,,,67.283,14.45,33,20111003,20140611
11630,99999,BOLNA,NO,,,66.5,15.25,549,19730101,19770823
11680,99999,KLEIVA I SORTLAND,NO,,,68.65,15.283,23,19730101,20060611
11690,99999,SALTDAL-NORDNES,NO,,,66.933,15.317,37,19830101,20180807
11691,99999,OVRE SALTDAL,NO,,,66.967,15.317,26,19730101,19781008
11700,99999,FAUSKE-VETEN,NO,,,67.233,15.317,165,19730101,19900307
11720,99999,FINNOY I HAMAROY,NO,,,68,15.617,53,19730101,20060311
11760,99999,KONGSVIK,NO,,,68.567,16.267,25,19730101,19780118
11800,99999,HARSTAD,NO,,,68.8,16.533,45,20040510,20180807
11841,99999,SANDSOY,NO,,,68.933,16.683,45,20070307,20070307
11890,99999,LILAND,NO,,,68.483,16.883,19,19730102,20050302
11960,99999,TENNEVOLL,NO,,,68.75,17.817,21,19730101,20020808
11990,99999,SIHCCAJAVRI,NO,,,68.75,23.533,382,19490101,20180807
12140,99999,REKDAL,NO,,,62.65,6.767,43,20090112,20180807
12150,99999,HJELVIK MYRBO,NO,,,62.62,7.23,35,19730101,20090630
12160,99999,HJELVIK I ROMSDAL,NO,,,62.617,7.217,16,19731226,20020527
12161,99999,GJERMUNDNES,NO,,,62.617,7.167,49,20040412,20040412
12180,99999,TAFJORD,NO,,,62.233,7.417,17,19730101,20180807
12200,99999,MANNEN,NO,,,62.45,7.767,1294,20100315,20180807
12210,99999,TAGDALEN,NO,,,63.05,9.083,415,20080115,20180807
12240,99999,AALESUND,NO,,,62.467,6.217,50,19841201,20180807
